structur;name;year;month;data_expected
ICCAT;26th Regular Meeting of the Commission;2019;11;F
ICCAT;Meeting of the Standing Committee on Research and Statistics (SCRS);2019;10;F
ICCAT;SCRS Species Groups meetings;2019;9;T
ICCAT;Intersessional Meeting of the Bluefin MSE Technical Group;2019;9;F
ICCAT;Yellowfin Stock Assessment Meeting;2019;7;F
ICCAT;Intersessional Meeting of the Small Tunas Species Group;2019;6;T
ICCAT;White Marlin Stock Assessment Meeting;2019;6;F
ICCAT;Shortfin Mako Stock Assessment Update Meeting;2019;5;F
ICCAT;J-tRFMO FAD Working group Meeting;2019;5;F
ICCAT;Yellowfin Data Preparatory Meeting;2019;4;T
ICCAT;Meeting of the Working Group on Stock Assessment Methods;2019;4;F
ICCAT;Intersessional Meeting of the Sub-Committee on Ecosystems;2019;4;T
ICCAT;13th Meeting of the IMM Working Group;2019;4;F
ICCAT;White Marlin Data Preparatory Meeting;2019;3;T
ICCAT;Intersessional Meeting of Panel 2;2019;3;F
ICCAT;Intersessional Meeting of the Swordfish Species Group;2019;2;T
ICCAT;Intersessional Meeting of the Bluefin Species Group;2019;2;T
ICCAT;Intersessional Meeting of the Bluefin MSE Technical Group;2019;2;F
ICCAT;Meeting of the Technical and Legal Editing Group of Contracting Parties;2019;1;F
ICCAT;21st Special Meeting of the Commission;2018;11;F
ICCAT;Meeting of the Compliance Committee (COC);2018;11;F
ICCAT;Meeting of the Standing Committee on Research and Statistics (SCRS);2018;10;F
ICCAT;SCRS Species Groups meetings (SC Statistics 24-25);2018;9;T
ICCAT;Meeting of the Port Inspection Expert group for Capacity and Assistance;2018;9;F
ICCAT;Panel 1 Intersessional meeting;2018;7;F
ICCAT;Bigeye tuna stock assessment session;2018;7;F
ICCAT;Sharks Species Group intersessional meeting;2018;7;T
ICCAT;Blue marlin stock assessment session;2018;6;F
ICCAT;Sub-Committee on Ecosystems intersessional meeting;2018;6;T
ICCAT;Meeting of the Working Group on Convention Amendment;2018;5;F
ICCAT;Meeting of the Standing Working Group on Dialogue between Fisheries Scientists and Managers;2018;5;F
ICCAT;Meeting of the ICCAT Working Group on stock assessment methods;2018;5;F
ICCAT;Bigeye tuna data preparatory meeting;2018;4;T
ICCAT;MSE (North Atlantic swordfish);2018;4;F
ICCAT;MSE (Bluefin tuna);2018;4;F
ICCAT;12th Meeting of the IMM Working Group;2018;4;F
ICCAT;Small tunas species group intersessional meeting;2018;4;T
ICCAT;Meeting of the Online Reporting Technology Working Group;2018;3;F
ICCAT;Blue marlin data preparatory meeting;2018;3;T
ICCAT;Panel 2 intersessional meeting;2018;3;F
ICCAT;25th Regular Meeting of the Commission;2017;12;F
ICCAT;Meeting of the Port Inspection Expert group for Capacity and Assistance;2017;10;F
ICCAT;Meeting of the Standing Committee on Research and Statistics (SCRS);2017;10;F
ICCAT;SCRS Species Groups meetings (SC Statistics 25-26);2017;9;T
ICCAT;3rd Meeting of the Ad Hoc Working Group on FADs;2017;9;F
ICCAT;Tropical tuna species group intersessional meeting;2017;9;T
ICCAT;Bluefin tuna stock assessment session (Add);2017;7;F
ICCAT;Bluefin tuna stock assessment session;2017;7;F
ICCAT;Sub-Committee on Ecosystems intersessional meeting;2017;7;T
ICCAT;Atlantic swordfish stock assessment session;2017;7;F
ICCAT;Meeting of the Standing Working Group on Dialogue between Fisheries Scientists and Managers;2017;6;F
ICCAT;Meeting of the Ad Hoc Working Group to Follow up on the Second Performance Review;2017;6;F
ICCAT;Meeting of the Working Group on Convention Amendment;2017;6;F
ICCAT;Shortfin mako shark stock assessment session;2017;6;F
ICCAT;Albacore species group intersessional meeting (including stock assessment of Mediterranean Albacore);2017;6;T
ICCAT;Meeting of the ICCAT Working Group on Stock Assessment Methods;2017;5;F
ICCAT;Small Tunas species group intersessional meeting;2017;4;T
ICCAT;1st Joint T-RFMO Fad Working Group Meeting;2017;4;F
ICCAT;Atlantic swordfish data preparatory meeting;2017;4;T
ICCAT;Shortfin mako shark data preparatory meeting;2017;3;T
ICCAT;Bluefin tuna data preparatory meeting;2017;3;T
ICCAT;Meeting of the Mediterranean Swordfish Working Group;2017;2;F
ICCAT;20th Special Meeting of the Commission (Documents);2016;11;F
ICCAT;Meeting of the Standing Committee on Research and statistics;2016;10;F
ICCAT;SCRS Species Groups meetings (SC Statistics 26-27);2016;9;T
ICCAT;Sub-Committee on Ecosystems Intersessional meeting;2016;9;T
ICCAT;Bluefin species group intersessional meeting;2016;7;T
ICCAT;Intersessional meeting of the Panel 2;2016;7;F
ICCAT;11th Meeting of the IMM working group;2016;7;F
ICCAT;Mediterranean Swordfish stock assessment session;2016;7;F
ICCAT;Yellowfin stock assessment session;2016;6;F
ICCAT;Sailfish stock assessment session;2016;6;F
ICCAT;Atlantic Albacore stock assessment session;2016;5;F
ICCAT;Sharks species group intersessional meeting;2016;5;T
ICCAT;Small Tunas species group intersessional meeting;2016;5;T
ICCAT;2nd Meeting of the Ad hoc Working Group on FADs;2016;3;F
ICCAT;Yellowfin data preparatory meeting;2016;3;T
ICCAT;Meeting of the Working Group on Convention Amendment;2016;3;F
ICCAT;Meeting of the Compliance Committee;2016;3;F
ICCAT;Intersessional meeting of the Panel 2;2016;3;F
ICCAT;Meeting of the ICCAT Working Group on Stock Assessment Methods;2016;2;F
ICCAT;Virtual Working Group on Performance Review;2015;2;F
ICCAT;Virtual Working Group on Communication Policy;2015;11;F
ICCAT;24th Regular Meeting of the Commission;2015;11;F
ICCAT;Meeting of the Working Group on Convention Amendment;2015;10;F
ICCAT;Meeting of the Standing Committee on Research and statistics;2015;8;T
ICCAT;Blue shark stock assessment meeting;2015;7;F
ICCAT;Bigeye stock assessment meeting;2015;7;F
ICCAT;WG Fisheries Managers and Scientists in support of the Western Bluefin Stock Assessment;2015;6;F
ICCAT;Dialogue between Scientists and Managers Working Group;2015;6;F
ICCAT;Small Tunas species group intersessional meeting;2015;6;T
ICCAT;Sub-Committee on Ecosystems intersessional meeting;2015;6;T
ICCAT;Convention Amendment Working Group;2015;5;F
ICCAT;1st Meeting of the Ad hoc Working Group on FADs;2015;5;F
ICCAT;Bigeye data preparatory meeting;2015;5;T
ICCAT;Blue shark data preparatory meeting;2015;3;T
ICCAT;Bluefin data preparatory meeting;2015;3;T
ICCAT;10th Meeting of the IMM Working Group;2015;2;F
ICCAT;Intersessional meeting of the Panel 2;2015;2;F
ICCAT;Meeting of the ICCAT Working Group on Stock Assessment Methods;2015;2;F
ICCAT;19th Special Meeting of the Commission;2014;11;F
ICCAT;Meeting of the Standing Committee on Research and statistics ;2014;9;F
ICCAT;"SCRS Species Groups meetings (SC Statistics 22-23; BFT assessment 22-27)";2014;9;T
ICCAT;Sub-Committee on Ecosystems intersessional meeting;2014;9;T
ICCAT;Mediterranean swordfish stock assessment meeting;2014;7;F
ICCAT;Training course on Bayesian Surplus Production (BSP);2014;NA;F
ICCAT;WG Fisheries Managers and Scientists in support of the Western Bluefin Stock Assessment ;2014;7;F
ICCAT;Skipjack stock assessment meeting;2014;6;F
ICCAT;Billfishes species group intersessional meeting;2014;6;T
ICCAT;Dialogue between Scientists and Managers Working Group;2014;5;F
ICCAT;9th Meeting of the IMM Working Group;2014;5;F
ICCAT;Convention Amendment Working Group;2014;5;F
ICCAT;Bluefin data preparatory meeting;2014;5;T
ICCAT;Meeting of the Strategic Plan Group;2014;4;F
ICCAT;Meeting of the ICCAT Working Group on Stock Assessment Methods;2014;4;F
ICCAT;Sharks species group intersessional meeting;2014;3;T
ICCAT;Special intersessional PWG;2014;3;F
ICCAT;Intersessional meeting of the Compliance Committee/Panel 2;2014;3;F
ICCAT;eBCD Technical Working Group;2014;NA;F
IOTC;2nd performance review of the IOTC (PRIOTC02) 1/2;2015;2;F
IOTC;3rd workshop on connecting the IOTC science and management processes;2015;2;F
IOTC;12th session of the compliance committee (COC-12);2015;4;F
IOTC;12th session of the standing committee on administration and finance (SCAF-12);2015;4;F
IOTC;Management procedures dialogue (MPD-02);2015;4;F
IOTC;2nd cpue workshop on longline fisheries;2015;4;F
IOTC;5th working party on neritic tunas (WPTN-05);2015;5;F
IOTC;Regional training on the IOTC e-psm application;2015;6;F
IOTC;13th working party on billfish (WPB-13);2015;9;F
IOTC;11th working party on ecosystems and bycatch (WPEB-11);2015;9;F
IOTC;6th working party on methods (WPM-06);2015;10;F
IOTC;11th working party on data collection and statistics (WPDCS-11);2015;10;F
IOTC;17th working party on tropical tunas (WPTT-17);2015;10;F
IOTC;Regional psm training on national interagency collaboration and regional cooperation;2015;10;F
IOTC;18th scientific committee (SC-18);2015;11;F
IOTC;2nd performance review of the iotc (PRIOTC-02) 2/2;2015;12;F
IOTC;3rd Technical Committee on Allocation Criteria (TCAC-03);2016;2;F
IOTC;High Seas Boarding and Inspection Scheme (HSBIS);2016;3;F
IOTC;13th session of the Compliance Committee (CoC);2016;5;F
IOTC;13th session of the Standing Committee on Administration and Finance (SCAF-13);2016;5;F
IOTC;3rd Management Procedures Dialogue (MPD-03);2016;5;F
IOTC;20th session of the indian ocean tuna commission (S20);2016;5;F
IOTC;1st Regional PSM training - monitoring of landings and transhipments in port;2016;6;F
IOTC;6th Working Party on Neritic Tunas (WPNT-06);2016;6;F
IOTC;6th Working Party on Temperate Tuna (WPTmT-06);2016;7;F
IOTC;12th Working Party on Ecosystems and Bycatch (WPEB-12);2016;9;F
IOTC;14th Working Party on Billfish (WPB-14);2016;9;F
IOTC;2nd Regional PSM training on national interagency collaboration and regional cooperation;2016;10;F
IOTC;18th Working Party on Tropical Tunas (WPTT-18);2016;11;F
IOTC;7th Working Party on Methods (WPM-07);2016;11;F
IOTC;12th Working Party on Data Collection and Statistics (WPDCS-12);2016;11;F
IOTC;19th Scientific Committee (SC-19);2016;12;F
IOTC;1st Technical Committee on Performance Review (TCPR-01);2017;3;F
IOTC;1st IOTC ad hoc Working Group on FADs (WGFAD-01);2017;4;F
